Tourist_ID,Age,Gender,Country,State,City,Tourist_Type,Purpose,Season,Month,Travel_Mode,Hotel_Type,Hotel_Rating,Days_Stayed,Travel_Cost,Hotel_Cost,Food_Cost,Shopping_Cost,Total_Expense,Tourist_Satisfaction,Booking_Mode,Group_Size,Repeat_Visitor
T0001,57,Female,UK,Tamil Nadu,Mysuru,International,Pilgrimage,Winter,Jan,Car,Budget,4.3,5,21583,28947,8045,10251,68826,6,Online,6,Yes
T0002,70,Male,Australia,Goa,Jaipur,Domestic,Pilgrimage,Summer,Jun,Flight,Budget,4.5,2,24282,30948,3390,6452,65072,8,Online,4,Yes
T0003,53,Male,USA,Karnataka,Mysuru,International,Pilgrimage,Summer,Jan,Car,Standard,4.2,9,29686,41618,3879,10165,85348,6,Offline,4,Yes
T0004,46,Female,USA,Goa,Mysuru,International,Vacation,Summer,Jun,Flight,Budget,4.5,5,28864,3050,5529,2986,40429,5,Online,2,No
T0005,61,Female,Germany,Goa,Kochi,Domestic,Vacation,Summer,Mar,Flight,Luxury,3.2,7,31480,10329,7253,18220,67282,9,Offline,4,No
T0006,66,Male,India,Karnataka,Jaipur,International,Adventure,Winter,Feb,Bus,Standard,4.3,7,15292,20992,3993,3944,44221,6,Online,5,Yes
T0007,55,Male,India,Tamil Nadu,Jaipur,Domestic,Pilgrimage,Summer,Jun,Car,Luxury,3.8,3,37309,30172,9493,12156,89130,6,Online,6,No
T0008,24,Female,USA,Kerala,Chennai,Domestic,Business,Winter,Jan,Train,Luxury,4.3,7,9152,48054,1035,17190,75431,6,Online,6,No
T0009,50,Male,UK,Karnataka,Kochi,Domestic,Pilgrimage,Winter,Dec,Car,Standard,4.6,7,24439,49825,6012,19234,99510,7,Online,5,Yes
T0010,39,Female,Australia,Karnataka,Panaji,Domestic,Vacation,Summer,Oct,Train,Budget,4.1,7,26769,38068,4646,5026,74509,10,Offline,6,No
T0011,60,Female,UK,Tamil Nadu,Mysuru,Domestic,Vacation,Monsoon,Apr,Car,Budget,3.9,2,25338,6872,6098,9156,47464,8,Offline,4,Yes
T0012,48,Female,USA,Rajasthan,Mysuru,International,Vacation,Winter,Oct,Car,Standard,3.8,5,30188,31301,6313,18176,85978,5,Offline,2,Yes
T0013,53,Female,India,Kerala,Kochi,International,Business,Summer,Nov,Train,Standard,3.2,10,18032,18555,5272,9324,51183,9,Offline,3,Yes
T0014,26,Male,UK,Tamil Nadu,Chennai,International,Business,Summer,Jun,Train,Luxury,3.1,8,36889,10268,4998,8721,60876,10,Offline,3,Yes
T0015,37,Male,UK,Rajasthan,Kochi,International,Vacation,Winter,Apr,Bus,Standard,4.9,6,27246,41336,7928,9157,85667,5,Offline,1,No
T0016,32,Male,UK,Rajasthan,Panaji,Domestic,Pilgrimage,Summer,Oct,Train,Budget,3.5,9,34492,17831,8809,7132,68264,9,Offline,3,No
T0017,28,Male,Australia,Kerala,Panaji,Domestic,Adventure,Summer,Jan,Flight,Luxury,3.3,6,9707,28736,4425,2366,45234,5,Offline,2,Yes
T0018,46,Male,USA,Rajasthan,Mysuru,International,Business,Monsoon,Aug,Flight,Standard,4.5,9,6957,42535,1181,11732,62405,7,Online,6,Yes
T0019,56,Male,Germany,Tamil Nadu,Jaipur,International,Adventure,Winter,Aug,Bus,Luxury,4.8,4,13279,38309,7374,6007,64969,5,Offline,1,No
T0020,64,Male,Germany,Tamil Nadu,Jaipur,International,Pilgrimage,Monsoon,Jun,Train,Budget,3.9,2,38381,48451,6292,8966,102090,9,Online,6,No
T0021,27,Male,India,Rajasthan,Mysuru,International,Pilgrimage,Monsoon,Nov,Bus,Standard,3.7,6,16747,17235,6493,4134,44609,5,Offline,2,No
T0022,44,Female,USA,Tamil Nadu,Panaji,International,Adventure,Winter,Aug,Train,Standard,3.3,2,25532,46157,1724,7455,80868,9,Offline,3,No
T0023,36,Female,UK,Goa,Jaipur,International,Pilgrimage,Monsoon,Dec,Bus,Luxury,3.4,5,21735,4086,7298,3744,36863,10,Online,3,Yes
T0024,69,Male,USA,Karnataka,Panaji,Domestic,Vacation,Winter,Feb,Flight,Standard,3.2,5,7788,8657,5838,4471,26754,5,Offline,2,Yes
T0025,65,Male,Australia,Kerala,Jaipur,International,Adventure,Summer,Nov,Train,Budget,3.7,10,32125,23169,4316,3871,63481,5,Online,4,Yes
T0026,63,Female,India,Kerala,Mysuru,Domestic,Vacation,Summer,Apr,Flight,Luxury,4.0,8,8138,39782,1080,4886,53886,6,Offline,2,No
T0027,40,Female,Germany,Kerala,Panaji,Domestic,Business,Summer,Feb,Train,Standard,3.3,7,9068,43092,1721,17023,70904,8,Offline,3,No
T0028,67,Male,Germany,Karnataka,Panaji,Domestic,Pilgrimage,Summer,Nov,Bus,Standard,4.6,2,29175,25137,3445,12471,70228,8,Online,2,No
T0029,26,Female,Australia,Kerala,Chennai,International,Pilgrimage,Summer,Apr,Train,Budget,3.5,7,10574,6420,2584,11134,30712,10,Offline,2,No
T0030,55,Female,Germany,Karnataka,Jaipur,Domestic,Adventure,Monsoon,Mar,Flight,Budget,3.5,7,29819,29099,1821,4663,65402,8,Online,5,No
T0031,18,Female,UK,Karnataka,Chennai,Domestic,Adventure,Winter,Oct,Bus,Standard,4.4,5,21419,33731,6803,7564,69517,10,Online,1,Yes
T0032,35,Male,Australia,Kerala,Jaipur,International,Adventure,Summer,Jun,Bus,Standard,3.1,3,30237,22392,7374,6319,66322,8,Online,1,No
T0033,60,Male,Australia,Rajasthan,Mysuru,Domestic,Vacation,Summer,Sep,Flight,Budget,3.7,5,20420,26018,1400,5688,53526,10,Online,5,No
T0034,45,Female,USA,Rajasthan,Panaji,Domestic,Business,Monsoon,Apr,Flight,Luxury,4.3,7,15256,30709,1557,9288,56810,6,Offline,2,No
T0035,33,Male,USA,Tamil Nadu,Kochi,International,Pilgrimage,Monsoon,Nov,Bus,Budget,4.3,2,19453,34000,6379,12655,72487,9,Online,5,No
T0036,53,Male,UK,Rajasthan,Jaipur,Domestic,Business,Monsoon,Feb,Car,Budget,3.2,7,28683,16900,4878,12765,63226,10,Offline,6,No
T0037,20,Female,UK,Kerala,Mysuru,International,Adventure,Summer,Nov,Bus,Luxury,3.1,8,16192,29182,7995,18691,72060,9,Online,5,Yes
T0038,30,Female,USA,Tamil Nadu,Kochi,International,Vacation,Summer,Oct,Bus,Budget,4.9,5,5597,45587,5634,9161,65979,6,Offline,3,Yes
T0039,23,Male,UK,Goa,Mysuru,International,Adventure,Summer,Apr,Car,Standard,3.6,7,38070,41922,2994,4887,87873,9,Online,2,Yes
T0040,53,Male,Australia,Rajasthan,Panaji,Domestic,Adventure,Summer,May,Car,Luxury,3.6,2,34260,12555,1967,16575,65357,6,Online,6,Yes
T0041,51,Female,USA,Tamil Nadu,Kochi,International,Pilgrimage,Summer,Aug,Bus,Budget,4.9,5,37293,35041,3463,13743,89540,7,Online,6,No
T0042,51,Female,UK,Tamil Nadu,Kochi,International,Business,Summer,Sep,Train,Budget,4.3,9,12901,37992,8368,962,60223,9,Online,5,Yes
T0043,53,Male,USA,Karnataka,Jaipur,International,Adventure,Winter,Jun,Flight,Budget,3.7,3,13067,34247,9051,3541,59906,10,Online,4,No
T0044,33,Female,USA,Goa,Panaji,International,Adventure,Winter,Mar,Bus,Luxury,4.4,9,32079,11576,9366,4364,57385,5,Online,3,No
T0045,70,Female,Australia,Kerala,Panaji,International,Pilgrimage,Winter,May,Car,Standard,4.2,7,24465,13263,1686,2554,41968,9,Offline,6,Yes
T0046,69,Male,India,Karnataka,Jaipur,International,Adventure,Summer,Mar,Bus,Standard,3.3,5,38436,40649,5845,12341,97271,5,Offline,4,No
T0047,52,Male,UK,Goa,Mysuru,Domestic,Business,Winter,Nov,Car,Luxury,4.1,6,11862,22719,5254,11430,51265,9,Offline,1,No
T0048,31,Male,Germany,Karnataka,Kochi,International,Vacation,Monsoon,Jun,Car,Luxury,3.1,2,18905,11489,2515,16796,49705,8,Online,3,No
T0049,67,Female,Australia,Goa,Jaipur,International,Business,Winter,Mar,Car,Standard,3.7,6,8484,44517,1233,12273,66507,7,Offline,1,No
T0050,44,Female,USA,Karnataka,Chennai,International,Business,Summer,Oct,Car,Luxury,3.4,6,36533,28901,9384,3823,78641,8,Online,3,Yes
T0051,18,Female,Germany,Karnataka,Chennai,International,Business,Monsoon,Mar,Bus,Luxury,3.6,8,6702,45392,6866,5742,64702,10,Offline,4,Yes
T0052,34,Male,India,Karnataka,Mysuru,Domestic,Adventure,Monsoon,Jan,Car,Budget,3.5,9,34146,29983,1070,13753,78952,10,Online,6,Yes
T0053,38,Male,India,Tamil Nadu,Panaji,International,Pilgrimage,Summer,Jul,Train,Luxury,3.6,9,21773,15334,2638,6877,46622,10,Offline,1,No
T0054,42,Male,Germany,Goa,Kochi,International,Vacation,Monsoon,Nov,Bus,Budget,5.0,6,34707,19040,1442,18480,73669,7,Online,1,No
T0055,68,Female,India,Kerala,Kochi,Domestic,Pilgrimage,Summer,Nov,Car,Luxury,3.2,2,29881,3112,7346,8868,49207,7,Online,5,Yes
T0056,31,Female,Australia,Tamil Nadu,Panaji,Domestic,Business,Monsoon,Sep,Bus,Standard,3.6,3,30971,29777,6519,13110,80377,6,Online,4,No
T0057,51,Female,USA,Rajasthan,Kochi,International,Vacation,Winter,Dec,Car,Budget,3.6,4,30905,9851,5546,19705,66007,5,Online,2,No
T0058,22,Female,Germany,Kerala,Mysuru,International,Adventure,Winter,Jul,Train,Standard,4.7,5,37983,26610,9328,2296,76217,6,Offline,5,Yes
T0059,65,Male,Australia,Rajasthan,Kochi,Domestic,Pilgrimage,Summer,Mar,Car,Budget,4.8,8,35353,33546,9395,14215,92509,9,Offline,6,No
T0060,64,Female,UK,Rajasthan,Chennai,Domestic,Business,Winter,May,Train,Luxury,4.0,5,11454,13696,4425,3602,33177,5,Online,2,No
T0061,28,Male,India,Goa,Chennai,International,Pilgrimage,Summer,Jun,Train,Standard,3.4,3,38252,7835,6696,6499,59282,10,Online,2,No
T0062,45,Female,Germany,Karnataka,Mysuru,Domestic,Adventure,Monsoon,Jul,Bus,Budget,4.6,7,9410,46648,5140,12407,73605,6,Online,2,No
T0063,44,Female,India,Tamil Nadu,Panaji,International,Vacation,Summer,Sep,Train,Luxury,3.6,10,21864,30985,4427,9423,66699,9,Online,1,No
T0064,68,Female,USA,Tamil Nadu,Jaipur,Domestic,Vacation,Monsoon,Dec,Car,Standard,3.0,5,20232,31755,7136,1536,60659,5,Online,5,No
T0065,61,Male,Australia,Goa,Jaipur,International,Business,Summer,Jun,Car,Standard,3.0,4,33467,15681,1399,10247,60794,8,Offline,3,No
T0066,25,Male,Germany,Karnataka,Chennai,Domestic,Vacation,Winter,Aug,Train,Standard,4.6,2,33144,38112,5830,11797,88883,5,Offline,5,Yes
T0067,20,Male,India,Tamil Nadu,Panaji,Domestic,Vacation,Monsoon,Oct,Flight,Standard,4.7,6,33815,26504,9936,7279,77534,8,Offline,5,No
